Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1247,21,198.0222625732422,-101.07431030273438,54.04869079589844,0.0,0.0,0.0,0.0,0.0
1248,17,203.684326171875,-92.96035766601562,-708.5051879882812,1.0,0.0,0.0,0.0,0.0
1251,38,226.9847869873047,17.277822494506836,-647.4580078125,0.0,1.0,1.0,1.0,1.0
1252,34,174.47811889648438,-28.11261749267578,686.4571533203125,0.0,0.0,0.0,0.0,0.0
1253,4,262.56256103515625,-29.049036026000977,-628.0015869140625,0.0,0.0,1.0,0.0,0.0
1253,24,110.89250183105469,-43.12897491455078,-280.5761413574219,0.0,1.0,1.0,1.0,1.0
1254,25,224.65292358398438,-58.30971908569336,-761.1851196289062,1.0,1.0,1.0,1.0,1.0
1255,38,187.3982391357422,-26.644935607910156,237.21937561035156,0.0,0.0,0.0,0.0,0.0
1257,20,194.6739501953125,51.62105941772461,-374.6268615722656,1.0,1.0,1.0,1.0,1.0
1261,39,231.34759521484375,-59.454402923583984,-767.0462036132812,0.0,1.0,1.0,1.0,1.0
1262,6,283.0281677246094,-128.4852752685547,387.7124328613281,1.0,1.0,1.0,1.0,1.0
1262,16,326.8442077636719,-63.149723052978516,624.7672119140625,1.0,1.0,1.0,1.0,1.0
1265,11,255.88616943359375,86.80191802978516,-19.794336318969727,1.0,1.0,1.0,1.0,1.0
1265,23,111.64908599853516,-28.495328903198242,767.1435546875,0.0,0.0,0.0,1.0,1.0
1266,25,278.1343994140625,-77.53691101074219,-411.5641784667969,0.0,1.0,1.0,1.0,1.0
1266,32,110.8045425415039,11.645268440246582,363.6585998535156,1.0,1.0,1.0,1.0,1.0
1267,3,213.52484130859375,-35.534950256347656,-590.0291748046875,1.0,0.0,1.0,1.0,1.0
1267,38,235.9311981201172,62.8942756652832,-411.24005126953125,1.0,1.0,1.0,1.0,1.0
1268,22,194.50128173828125,-136.60153198242188,-254.18344116210938,0.0,0.0,1.0,1.0,1.0
1269,16,283.88299560546875,-6.9326701164245605,110.80165100097656,1.0,1.0,1.0,1.0,1.0
127,19,194.9540557861328,83.18324279785156,-542.6049194335938,1.0,1.0,1.0,1.0,1.0
127,28,248.65145874023438,38.37082290649414,89.34590148925781,1.0,1.0,1.0,1.0,1.0
1271,12,193.8317413330078,-149.63670349121094,130.73458862304688,1.0,1.0,1.0,1.0,1.0
1272,18,194.96778869628906,-12.653057098388672,14.90024185180664,0.0,0.0,0.0,0.0,0.0
